636	893
636	1700
636	2176
893	1700
893	2176
1700	2176
1399	2168
313	880
334	1853
180	1806
132	1061
132	1866
1061	1866
1246	1616
1246	1858
1246	1907
1616	1858
1616	1907
1858	1907
286	378
286	1094
286	1144
378	1094
378	1144
1094	1144
721	794
241	695
241	909
695	909
256	371
256	465
371	465
187	572
187	2058
572	2058
40	1563
317	1256
317	1572
1256	1572
305	1699
360	1844
502	2190
1820	1854
1820	1856
1854	1856
1503	2011
1130	2201
902	2139
249	374
249	1462
249	1490
249	2106
374	1462
374	1490
374	2106
1462	1490
1462	2106
1490	2106
171	194
171	1565
171	1843
194	1565
194	1843
1565	1843
753	1256
1097	1142
1097	1312
1097	1922
1097	2193
1142	1312
1142	1922
1142	2193
1312	1922
1312	2193
1922	2193
454	654
454	903
454	1973
654	903
654	1973
903	1973
754	2009
1134	2057
485	650
191	403
278	854
437	602
437	1237
602	1237
1297	1807
391	860
391	1390
860	1390
704	1234
704	1695
704	1802
1234	1695
1234	1802
1695	1802
89	1212
89	1902
1212	1902
687	916
687	2118
916	2118
1407	2072
1407	2169
2072	2169
718	1325
27	639
27	1925
639	1925
293	562
777	1686
799	1008
863	920
125	1418
125	1782
1418	1782
408	520
774	1291
774	1731
774	1751
774	2085
1291	1731
1291	1751
1291	2085
1731	1751
1731	2085
1751	2085
133	255
462	1599
287	1903
654	1955
99	1927
483	820
161	1299
161	1587
1299	1587
776	1483
472	577
472	854
577	854
512	616
150	1138
150	1163
1138	1163
1219	1276
1013	1668
1147	2127
1147	2201
2127	2201
1693	2054
210	289
210	1557
289	1557
399	2185
64	80
642	967
642	1821
642	1900
967	1821
967	1900
1821	1900
434	816
504	834
1521	2134
170	319
170	663
170	1627
319	663
319	1627
663	1627
167	307
727	989
779	1721
779	2093
1721	2093
1629	2102
868	1510
643	1139
284	850
284	1657
284	1713
284	1931
850	1657
850	1713
850	1931
1657	1713
1657	1931
1713	1931
705	2038
944	1195
247	321
247	565
247	670
247	2061
247	2185
321	565
321	670
321	2061
321	2185
565	670
565	2061
565	2185
670	2061
670	2185
2061	2185
1630	1957
1630	2038
1957	2038
867	931
1392	1619
1503	1542
1980	2051
1423	1498
1480	1597
421	747
421	1324
747	1324
790	801
261	850
1588	1717
239	1056
239	2094
1056	2094
1525	1613
309	1109
309	1601
1109	1601
918	1018
918	2208
1018	2208
101	904
101	955
101	956
904	955
904	956
955	956
320	1967
1873	2079
156	543
156	687
156	826
543	687
543	826
687	826
1124	1345
1212	1229
637	1049
1563	1592
1563	2080
1592	2080
106	825
1086	1231
263	1372
860	963
1615	1942
1820	1854
1690	1774
359	1393
446	1948
662	675
662	976
662	1255
675	976
675	1255
976	1255
359	1881
1054	1172
899	988
261	1771
1208	1882
1226	1287
1226	1385
1226	2111
1287	1385
1287	2111
1385	2111
536	598
1632	1872
734	1540
734	1816
734	1882
734	1989
1540	1816
1540	1882
1540	1989
1816	1882
1816	1989
1882	1989
1	1264
1	1511
1	1828
1264	1511
1264	1828
1511	1828
388	1452
825	1498
825	1641
1498	1641
1799	2189
223	770
429	2077
296	1578
121	1854
153	176
153	1647
176	1647
117	1404
117	1939
1404	1939
466	594
466	1476
466	1826
594	1476
594	1826
1476	1826
1716	2028
1716	2094
1716	2203
2028	2094
2028	2203
2094	2203
450	1461
1093	1122
1093	1712
1093	1874
1093	1992
1122	1712
1122	1874
1122	1992
1712	1874
1712	1992
1874	1992
126	332
205	574
205	1021
205	1119
574	1021
574	1119
1021	1119
144	267
144	274
144	1635
144	1993
267	274
267	1635
267	1993
274	1635
274	1993
1635	1993
168	383
168	601
383	601
546	1733
53	93
53	99
53	124
53	1865
53	2056
93	99
93	124
93	1865
93	2056
99	124
99	1865
99	2056
124	1865
124	2056
1865	2056
911	2181
154	1560
432	1435
63	717
63	981
63	1947
63	2053
717	981
717	1947
717	2053
981	1947
981	2053
1947	2053
1415	1931
343	722
1403	2172
30	303
30	661
30	1566
303	661
303	1566
661	1566
72	216
1427	1430
1578	1913
77	113
74	284
568	1216
92	466
489	1330
489	1667
1330	1667
1804	2165
728	764
426	810
426	864
426	1533
810	864
810	1533
864	1533
307	1746
828	986
828	1297
828	1365
986	1297
986	1365
1297	1365
906	1862
906	1928
1862	1928
712	767
712	1075
767	1075
209	744
209	1104
744	1104
326	572
326	612
326	741
572	612
572	741
612	741
815	932
815	1489
815	2145
815	2201
932	1489
932	2145
932	2201
1489	2145
1489	2201
2145	2201
1215	1543
1215	2151
1543	2151
458	593
458	710
593	710
2025	2077
1032	2041
1691	2156
722	1503
1445	1659
134	182
134	1015
134	1477
182	1015
182	1477
1015	1477
516	2050
1820	1854
131	608
694	825
694	1021
825	1021
1493	1697
1000	1337
106	1663
1313	2073
706	852
1429	2108
72	341
529	864
1817	2110
457	588
457	737
588	737
465	1550
465	2067
1550	2067
1303	1360
1303	1944
1360	1944
865	894
955	2087
1030	1878
1245	1708
1245	1827
1708	1827
907	2048
317	906
243	1326
243	1973
1326	1973
283	434
283	1467
434	1467
1238	1785
96	1605
891	1738
113	1542
1213	1292
1415	1931
338	1391
1240	1522
1240	2171
1522	2171
399	1139
388	682
388	767
388	775
388	923
388	1208
682	767
682	775
682	923
682	1208
767	775
767	923
767	1208
775	923
775	1208
923	1208
1423	1429
397	1234
397	1607
1234	1607
541	1367
694	942
84	91
84	535
84	648
84	963
91	535
91	648
91	963
535	648
535	963
648	963
258	1134
258	1503
258	1530
258	1799
1134	1503
1134	1530
1134	1799
1503	1530
1503	1799
1530	1799
173	2054
1799	2189
365	1093
365	2059
1093	2059
495	732
613	1887
692	729
692	1611
729	1611
204	1988
89	370
89	717
89	1148
89	2035
370	717
370	1148
370	2035
717	1148
717	2035
1148	2035
40	217
40	833
40	1346
40	1682
217	833
217	1346
217	1682
833	1346
833	1682
1346	1682
1236	1544
1169	1225
2043	2093
2043	2163
2093	2163
535	1445
307	686
307	707
307	778
307	1746
307	1785
686	707
686	778
686	1746
686	1785
707	778
707	1746
707	1785
778	1746
778	1785
1746	1785
40	561
40	1895
561	1895
50	592
805	843
1795	2172
643	679
643	1046
643	1305
679	1046
679	1305
1046	1305
1085	1286
494	1516
1398	2074
225	1523
225	1908
1523	1908
355	1786
80	188
593	1628
471	754
471	2161
754	2161
797	880
797	2114
880	2114
315	468
315	472
468	472
49	415
1183	2066
442	1177
49	738
359	1821
359	1979
1821	1979
463	1206
463	1901
463	1966
1206	1901
1206	1966
1901	1966
596	908
596	1619
596	1872
908	1619
908	1872
1619	1872
1692	1946
301	507
242	379
29	472
29	738
29	785
472	738
472	785
738	785
408	614
408	704
408	1695
614	704
614	1695
