53	53	1
91	238	1
111	227	1
1472	1325	1
149	1538	1
999	1092	1
191	155	1
1242	1727	1
1357	94	1
1370	283	1
138	996	1
38	149	1
832	1670	1
1403	337	1
48	1173	1
1197	1195	1
844	85	1
271	305	1
1180	1707	1
464	649	1
455	453	1
296	338	1
23	257	1
1472	1257	1
961	64	1
1001	1043	1
362	1759	1
1050	814	1
809	916	1
61	63	1
742	1118	1
47	124	1
908	984	1
742	1065	1
50	387	1
1319	1359	1
107	190	1
1004	64	1
1472	274	1
412	941	1
455	521	1
1472	385	1
171	810	1
996	967	1
412	988	1
1172	1310	1
805	787	1
330	373	1
1472	48	1
333	1554	1
560	602	1
740	824	1
46	393	1
727	710	1
124	889	1
384	384	1
1472	175	1
279	541	1
1267	1206	1
1472	222	1
920	1717	1
48	236	1
1060	1021	1
379	666	1
1472	845	1
224	941	1
1770	1458	1
47	1067	1
1001	171	1
215	225	1
54	33	1
129	158	1
149	211	1
7	149	1
1472	619	1
61	1356	1
46	1248	1
1613	606	1
379	361	1
1402	1147	1
1472	666	1
742	988	1
1132	1740	1
952	366	1
91	202	1
920	972	1
9	211	1
485	478	1
844	155	1
47	988	1
34	1293	1
909	1213	1
1298	1308	1
109	115	1
793	1692	1
1496	649	1
67	1391	1
999	1358	1
965	1126	1
988	1289	1
807	839	1
1472	1094	1
168	1310	1
48	1024	1
774	1684	1
1293	1128	1
1361	1422	1
165	131	1
224	1045	1
836	1096	1
605	661	1
496	437	1
67	1050	1
1050	1089	1
575	558	1
409	403	1
531	460	1
168	38	1
149	1325	1
50	54	1
362	356	1
236	333	1
399	1205	1
316	341	1
46	58	1
751	1103	1
1472	28	1
560	582	1
79	54	1
271	1052	1
1704	998	1
965	194	1
967	1096	1
130	1767	1
1342	1132	1
1472	826	1
957	958	1
559	606	1
432	55	1
920	155	1
1472	984	1
64	977	1
138	120	1
231	1439	1
404	411	1
999	1198	1
47	1325	1
409	523	1
38	608	1
98	1751	1
1472	742	1
815	808	1
211	768	1
90	115	1
0	151	1
1472	1301	1
657	715	1
471	675	1
700	879	1
751	1003	1
74	1179	1
407	411	1
1261	970	1
50	1248	1
768	283	1
380	383	1
471	528	1
113	28	1
989	979	1
97	1115	1
48	897	1
1373	1441	1
1062	916	1
73	1490	1
1047	1036	1
941	1249	1
48	784	1
1226	1137	1
1087	1732	1
109	889	1
146	133	1
1055	1146	1
1310	1341	1
1472	1233	1
170	271	1
1117	1273	1
53	594	1
330	969	1
1385	1421	1
996	1322	1
117	271	1
999	929	1
94	1757	1
1067	861	1
861	896	1
3	50	1
1389	362	1
72	751	1
1472	346	1
149	1345	1
1080	271	1
909	155	1
110	922	1
185	1345	1
1749	107	1
1024	1026	1
46	86	1
209	1263	1
1172	1018	1
909	236	1
83	207	1
607	608	1
1055	988	1
814	970	1
73	374	1
441	506	1
1472	774	1
867	1128	1
116	188	1
1331	1741	1
379	578	1
867	941	1
1111	1174	1
105	54	1
128	107	1
555	596	1
146	1180	1
404	456	1
727	306	1
1006	895	1
20	24	1
114	143	1
1472	595	1
404	447	1
149	380	1
314	317	1
46	1004	1
1155	1170	1
157	129	1
168	922	1
830	1720	1
48	752	1
380	189	1
241	225	1
941	914	1
138	961	1
1003	1113	1
67	1686	1
909	1221	1
471	564	1
751	892	1
932	1082	1
204	209	1
1472	1055	1
49	784	1
48	941	1
660	684	1
809	814	1
330	779	1
1012	803	1
1472	1166	1
8	11	1
762	790	1
122	169	1
605	684	1
109	861	1
1012	850	1
259	410	1
1325	1375	1
1055	1118	1
7	1492	1
941	1110	1
1444	1459	1
951	1009	1
421	434	1
762	1000	1
50	412	1
107	213	1
130	260	1
1472	311	1
97	863	1
67	867	1
399	1404	1
1472	422	1
224	326	1
370	784	1
1050	399	1
1472	469	1
117	182	1
55	224	1
12	149	1
1050	161	1
1472	243	1
59	82	1
889	807	1
146	818	1
202	1178	1
1050	208	1
236	970	1
863	1091	1
21	18	1
1472	866	1
957	1050	1
116	144	1
1295	1270	1
211	764	1
620	608	1
54	90	1
382	375	1
149	190	1
477	1601	1
768	1000	1
146	980	1
37	1001	1
1472	512	1
370	182	1
30	98	1
910	946	1
50	1380	1
921	1711	1
208	180	1
380	82	1
367	852	1
1472	1326	1
980	1021	1
74	916	1
789	1285	1
1285	384	1
238	227	1
220	954	1
1472	1373	1
64	1110	1
792	346	1
850	1156	1
1080	941	1
431	457	1
1046	1094	1
807	930	1
666	786	1
1472	1147	1
146	186	1
1472	1258	1
243	790	1
1036	811	1
374	60	1
1024	803	1
341	429	1
1007	1036	1
146	205	1
700	740	1
264	256	1
996	1250	1
867	250	1
387	90	1
541	613	1
1319	1358	1
1069	1315	1
1472	275	1
792	901	1
334	632	1
179	845	1
236	362	1
311	344	1
1472	386	1
774	848	1
813	758	1
67	1004	1
1438	1455	1
671	744	1
124	1495	1
54	762	1
715	668	1
1472	49	1
408	408	1
117	138	1
399	1142	1
1472	160	1
283	1205	1
63	1445	1
1301	387	1
1768	1246	1
1267	1209	1
441	449	1
1472	223	1
546	612	1
283	886	1
1194	868	1
109	1080	1
537	415	1
1472	846	1
295	443	1
48	124	1
1001	170	1
965	271	1
914	1087	1
1285	1244	1
21	423	1
1472	1021	1
412	1328	1
1714	337	1
1472	620	1
764	782	1
67	70	1
727	250	1
312	287	1
243	265	1
685	674	1
337	828	1
856	860	1
1670	703	1
168	1106	1
64	1027	1
1155	1147	1
1403	399	1
185	354	1
994	728	1
1472	1064	1
67	1390	1
47	844	1
889	1226	1
768	1691	1
431	493	1
654	1648	1
1472	1095	1
774	1685	1
341	464	1
640	617	1
400	398	1
138	1054	1
