62	650
637	1661
842	1442
1356	2137
312	872
333	1818
1220	1577
1220	1825
1220	1873
1577	1825
1577	1873
1825	1873
287	376
287	1068
287	1114
376	1068
376	1114
1068	1114
239	595
277	716
255	369
255	467
369	467
188	573
188	2030
573	2030
40	1522
1232	1533
65	917
358	1810
504	2159
894	2108
372	1419
372	1449
372	2077
1419	1449
1419	2077
1449	2077
171	195
171	1524
171	1809
195	1524
195	1809
1524	1809
1070	1285
1070	1889
1070	2162
1285	1889
1285	2162
1889	2162
454	656
454	895
656	895
1104	2029
167	1885
437	1210
1270	1770
389	850
389	1348
389	1732
850	1348
850	1732
1348	1732
702	1655
702	1766
702	1915
1655	1766
1655	1915
1766	1915
88	1868
687	908
1364	2044
1364	2138
2044	2138
170	278
170	1483
278	1483
715	1301
640	1892
293	564
770	1646
1430	1842
128	1747
407	523
767	1264
767	1692
767	2057
1264	1692
1264	2057
1692	2057
463	1559
288	1869
656	1920
1424	1442
92	99
92	231
92	1894
92	2019
99	231
99	1894
99	2019
231	1894
231	2019
1894	2019
484	811
769	1441
1011	1604
473	578
516	617
149	1109
149	1131
149	1191
149	1251
1109	1131
1109	1191
1109	1251
1131	1191
1131	1251
1191	1251
1117	2097
1117	2170
2097	2170
1653	2026
210	290
210	1468
210	1516
290	1468
290	1516
1468	1516
398	2154
65	80
643	957
643	1784
643	1866
957	1784
957	1866
1784	1866
433	1622
433	1974
1622	1974
170	318
170	665
170	1588
318	665
318	1588
665	1588
165	307
165	1708
307	1708
722	981
1682	2065
859	1469
285	1618
285	1674
285	1897
1618	1674
1618	1897
1674	1897
703	2009
933	1164
227	320
227	567
227	671
227	2033
227	2154
320	567
320	671
320	2033
320	2154
567	671
567	2033
567	2154
671	2033
671	2154
2033	2154
1590	1922
1590	2009
1922	2009
858	921
1462	1501
1946	2022
1438	1557
420	619
420	741
420	1300
619	741
619	1300
741	1300
781	792
1548	1678
237	1045
308	1083
308	1561
1083	1561
910	2174
138	1448
896	945
896	946
945	946
319	1932
1838	1928
1838	2051
1928	2051
154	547
154	816
547	816
1096	1320
638	1038
1522	1551
1522	2052
1551	2052
357	1351
446	1913
676	966
676	1231
966	1231
357	1846
956	1043
956	1140
1043	1140
1517	1894
890	980
260	1732
1180	1847
1198	1260
1198	1343
1198	2082
1260	1343
1260	2082
1343	2082
1415	1592
1415	1837
1592	1837
1500	1779
1500	1956
1779	1956
1	289
1	1239
1	1470
1	1792
289	1239
289	1470
289	1792
1239	1470
1239	1792
1470	1792
386	1408
386	1701
1408	1701
1735	1887
1735	1915
1887	1915
428	2049
296	1538
123	1820
152	176
152	1608
176	1608
119	1361
119	1904
1361	1904
596	1434
596	1790
1434	1790
1677	1999
1677	2066
1677	2171
1999	2066
1999	2171
2066	2171
450	1417
1673	1839
1673	1959
1839	1959
129	331
205	575
205	1012
205	1091
575	1012
575	1091
1012	1091
143	267
143	274
143	1595
143	1960
267	274
267	1595
267	1960
274	1595
274	1960
1595	1960
550	1694
53	93
53	127
53	1831
53	2028
93	127
93	1831
93	2028
127	1831
127	2028
1831	2028
903	2150
1260	1693
431	1392
64	631
64	714
64	972
64	1912
64	2024
631	714
631	972
631	1912
631	2024
714	972
714	1912
714	2024
972	1912
972	2024
1912	2024
1372	1897
1360	2141
30	663
128	1653
72	216
1538	1879
74	285
569	1703
91	468
1306	1627
1768	2134
723	757
425	800
425	1492
800	1492
1347	1363
709	760
709	1050
760	1050
325	573
325	613
325	735
573	613
573	735
613	735
806	922
806	1448
806	2113
806	2170
922	1448
922	2113
922	2170
1448	2113
1448	2170
2113	2170
1791	2174
1187	2119
458	595
458	666
458	707
595	666
595	707
666	707
1996	2049
1023	2013
1651	2124
442	1134
550	918
550	1292
918	1292
718	1462
1401	1620
136	182
136	1006
136	1435
182	1006
182	1435
1006	1435
519	2021
133	608
693	815
693	1012
693	1410
815	1012
815	1410
1012	1410
693	1657
693	1850
1657	1850
991	1313
106	1624
1288	2045
1386	2079
72	339
467	1508
467	2039
1508	2039
855	885
855	1598
855	1799
885	1598
885	1799
1598	1799
945	2059
1021	1843
444	1002
200	1218
200	1668
200	1791
1218	1668
1218	1791
1668	1791
316	898
241	1302
241	1938
1302	1938
284	433
284	1424
284	1547
284	2049
433	1424
433	1547
433	2049
1424	1547
1424	2049
1547	2049
1211	1749
96	1565
883	1699
113	1501
647	1396
1372	1897
336	1349
1213	1482
1213	2140
1482	2140
398	1110
325	683
325	760
325	768
325	915
325	1180
683	760
683	768
683	915
683	1180
760	768
760	915
760	1180
768	915
768	1180
915	1180
972	1380
972	1386
1380	1386
396	1567
1856	1997
693	932
83	90
83	539
83	650
83	953
83	1355
90	539
90	650
90	953
90	1355
539	650
539	953
539	1355
650	953
650	1355
953	1355
21	28
257	1104
257	1462
257	1763
1104	1462
1104	1763
1462	1763
173	2026
363	1067
363	2031
1067	2031
496	727
1617	1907
614	1853
692	724
692	1571
724	1571
204	1955
216	277
88	368
88	714
88	1118
88	2007
368	714
368	1118
368	2007
714	1118
714	2007
1118	2007
40	217
40	823
40	1321
40	1642
217	823
217	1321
217	1642
823	1321
823	1642
1321	1642
1209	1502
1138	1197
2015	2065
2015	2132
2065	2132
539	1401
257	1424
686	771
686	1364
686	1708
686	1749
686	1777
771	1364
771	1708
771	1749
771	1777
1364	1708
1364	1749
1364	1777
1708	1749
1708	1777
1749	1777
40	563
40	1861
563	1861
1106	1126
1106	1155
1126	1155
796	833
225	275
1759	2141
644	680
644	1035
644	1277
680	1035
680	1277
1035	1277
495	1476
224	287
224	1483
224	1874
287	1483
287	1874
1483	1874
352	1750
112	1400
98	595
98	1410
98	1589
595	1410
595	1589
1410	1589
292	1414
788	872
788	2085
872	2085
314	470
49	414
442	1145
1175	1612
1175	1867
1175	1931
1612	1867
1612	1931
1867	1931
598	901
598	1580
598	1837
901	1580
901	1837
1580	1837
1652	1911
301	511
29	473
29	733
473	733
615	702
615	1655
702	1655
156	1120
156	1258
1120	1258
354	1705
1372	1897
1155	1327
1348	1495
40	1349
409	1056
409	1356
1056	1356
914	1188
230	784
230	1122
230	1662
784	1122
784	1662
1122	1662
81	472
1	1933
110	1395
110	1502
1395	1502
115	238
115	487
238	487
1314	1331
2076	2175
1685	1917
439	449
439	740
439	1305
449	740
449	1305
740	1305
355	778
137	397
137	1278
397	1278
491	936
1214	1647
1329	1619
485	870
485	2159
870	2159
1602	1625
665	2160
46	54
1025	1471
1424	1437
168	2158
85	851
85	1586
851	1586
221	301
221	387
301	387
1063	1198
